Mean(R),Std(R),Quantile.0.025(R),Quantile.0.05(R),Quantile.0.25(R),Median(R),Quantile.0.75(R),Quantile.0.95(R),Quantile.0.975(R),Date
3.669542926166606,2.2867580591230627,0.6554029741969852,0.8911784099738532,8.052657418074547,3.1977481907258296,8.052657418074547,8.052657418074547,9.35531480723792,2020-03-27
5.287711655841489,2.587906912128527,1.5644505712426247,1.924093090057746,10.149354473409849,4.852332627461514,10.149354473409849,10.149354473409849,11.526776384951354,2020-03-28
3.9597545035726887,2.0788503716895077,1.1049912204818835,1.361047705787442,7.907476602467261,3.5643574286293473,7.907476602467261,7.907476602467261,9.091711937452589,2020-03-29
5.309063074136803,2.2326039910489306,2.089302608469074,2.4187918444513596,9.53034586850486,4.921763225096862,9.53034586850486,9.53034586850486,10.717172144170986,2020-03-30
4.528022659551087,1.8747963286460947,1.84647745898052,2.1129363439328603,8.068560031648,4.1971025999643965,8.068560031648,8.068560031648,9.068142153847822,2020-03-31
3.3397215755660636,1.3582955893203965,1.4101687873127287,1.6027726959476205,5.9255964688064715,3.0911649612838255,5.9255964688064715,5.9255964688064715,6.64907385540384,2020-04-01
2.1910457240576346,0.8478793860866906,0.9544374756890459,1.0811799824726016,3.785462093854409,2.04983241491329,3.785462093854409,3.785462093854409,4.227106217918646,2020-04-02
3.0302029235865,0.8518207307812805,1.6760528623519524,1.837813755182024,4.593796814897522,2.9220371666365508,4.593796814897522,4.593796814897522,4.99352058180188,2020-04-03
3.309428674917056,0.8314257066899285,1.940546599301808,2.1076331615251203,4.812242646879847,3.2213746620451893,4.812242646879847,4.812242646879847,5.165537261823087,2020-04-04
2.6049111578273365,0.7009495262223799,1.4744798429175465,1.6043588261120914,3.8738441923877325,2.523722191265387,3.8738441923877325,3.8738441923877325,4.170157323991876,2020-04-05
2.0893170874865405,0.5404340382955907,1.2269298572018876,1.3268806182623252,3.078760005886014,2.0225153450872835,3.078760005886014,3.078760005886014,3.315146153227475,2020-04-06
2.4446920840231376,0.5137954424580512,1.6003706382591019,1.7034632246418482,3.373571633491559,2.387908286388516,3.373571633491559,3.373571633491559,3.5918868782825806,2020-04-07
4.938299239628711,0.8197287500705387,3.554365225924708,3.720874967646996,6.382571118853527,4.869764544605511,6.382571118853527,6.382571118853527,6.681388158899883,2020-04-08
4.277622124455551,1.075929860660812,2.4850658487322796,2.6548657393685176,6.110032083932516,4.214684689662658,6.110032083932516,6.110032083932516,6.40484623184431,2020-04-09
3.600756236906557,1.0390715292307642,2.119537170369574,2.2327385336199157,5.529459484253599,3.415219447016455,5.529459484253599,5.529459484253599,5.90178965799123,2020-04-10
2.814370211694134,0.7461591395187838,1.7774452129523595,1.8614367175972775,4.205804425954124,2.6713217950156274,4.205804425954124,4.205804425954124,4.5420292847838,2020-04-11
2.5286765333276406,0.5479501376209069,1.7479615585540662,1.8170363956811042,3.539106556517429,2.4311218667588683,3.539106556517429,3.539106556517429,3.779051689329299,2020-04-12
2.0351379312476756,0.3668728800544373,1.4776245858409767,1.5305570209001766,2.6992252911385752,1.9829969553181825,2.6992252911385752,2.6992252911385752,2.835835617796459,2020-04-13
2.064198777961974,0.30043737959714645,1.5954663552767658,1.6422021715620987,2.605744027482935,2.0254862984211774,2.605744027482935,2.605744027482935,2.707511259591505,2020-04-14
1.5177857065519553,0.20096716877052778,1.1839183884296507,1.22078653385426,1.8701087812065131,1.4997508903969878,1.8701087812065131,1.8701087812065131,1.9331464376106928,2020-04-15
1.3644076296995378,0.14769523116473857,1.1129556288713338,1.1439545600633085,1.6243386770552297,1.351669550619459,1.6243386770552297,1.6243386770552297,1.6721482672957484,2020-04-16
1.087824664100373,0.10046854283079902,0.9073087612940554,0.9325433186588454,1.2617975968772093,1.0823587399754584,1.2617975968772093,1.2617975968772093,1.2967435496980997,2020-04-17
1.0136419186962136,0.08333075982185963,0.8584617261346816,0.8812290098913884,1.1551493390199197,1.0109519181988325,1.1551493390199197,1.1551493390199197,1.1842594374876585,2020-04-18
0.9254540986808111,0.07641129989938562,0.7824526639057386,0.8041426128733461,1.0552720322444733,0.9229500179463981,1.0552720322444733,1.0552720322444733,1.0816799078262487,2020-04-19
0.9513171733778008,0.07836966002488789,0.8052893605409984,0.826318990751692,1.0841507498717318,0.9490107293376244,1.0841507498717318,1.0841507498717318,1.1110392076685707,2020-04-20
0.7562980867298543,0.06737575048976159,0.6301982111215623,0.6492270323935196,0.8708963880461048,0.7541379179973311,0.8708963880461048,0.8708963880461048,0.8946779334577322,2020-04-21
0.7540280397498953,0.07105939137079396,0.6234375979891547,0.6425989718308052,0.8755815442511075,0.7509444802915921,0.8755815442511075,0.8755815442511075,0.9014682475163524,2020-04-22
1.0134630879803748,0.0912264591873229,0.846085233581746,0.8702130731498272,1.1697046598451266,1.0097126557557303,1.1697046598451266,1.1697046598451266,1.2015551907557744,2020-04-23
1.4684443172228874,0.10195754414883447,1.2723413086623088,1.30272468961782,1.6385749912350391,1.4672210373182146,1.6385749912350391,1.6385749912350391,1.6714865263175847,2020-04-24
1.5764735479222831,0.10437210791265668,1.374179565767481,1.4060681619971662,1.749529294944615,1.5756831102714275,1.749529294944615,1.749529294944615,1.7837295898986598,2020-04-25
1.9060311662946865,0.16048855830750133,1.6076307444831164,1.6474633070747184,2.1730146179271967,1.9041186705264055,2.1730146179271967,2.1730146179271967,2.221988499991891,2020-04-26
1.8139398406080873,0.2018193524197371,1.4595959226699768,1.5003158217977302,2.157193479073717,1.8047510397148705,2.157193479073717,2.157193479073717,2.22015903231655,2020-04-27
