Mean(R),Std(R),Quantile.0.025(R),Quantile.0.05(R),Quantile.0.25(R),Median(R),Quantile.0.75(R),Quantile.0.95(R),Quantile.0.975(R),Date,State
2.7373038863847112,1.1763325424996376,0.9978703813616568,1.186787037474516,4.947473137556776,2.54679211766815,4.947473137556776,4.947473137556776,5.544652575225597,2020-03-27,RO
2.1692700547469883,0.885530006927007,0.8118863954195131,0.9633420727438782,3.8176577025807026,2.0370739665290345,3.8176577025807026,3.8176577025807026,4.258418805964843,2020-03-28,RO
1.2761862975417064,0.6161335866080944,0.38087008033206493,0.46491898326773157,2.425498578472294,1.174319765849839,2.425498578472294,2.425498578472294,2.739731743020923,2020-03-29,RO
1.169680955783575,0.5458805959401706,0.36107974768878415,0.43803701627458186,2.169958818219435,1.09145698889948,2.169958818219435,2.169958818219435,2.4521040067860773,2020-03-30,RO
1.641546631609049,0.6405519001611321,0.6414780569311244,0.7539191593002548,2.8420112250205527,1.5579256109405986,2.8420112250205527,2.8420112250205527,3.1230171109855,2020-03-31,RO
1.3419984636961824,0.5744665159916916,0.468692167083934,0.564699579787167,2.398720690256194,1.2587085053955018,2.398720690256194,2.398720690256194,2.6902099890443942,2020-04-01,RO
1.5202082199731113,0.5936962821345748,0.5912234285342085,0.6982509162621291,2.603879982897599,1.439383734684983,2.603879982897599,2.603879982897599,2.875096262920057,2020-04-02,RO
1.2529871389405338,0.5287162041501862,0.4388479459536162,0.5251075178843767,2.2292694096365766,1.1808175283200129,2.2292694096365766,2.2292694096365766,2.4837016993085768,2020-04-03,RO
1.4206896494241439,0.5510050588842972,0.5509038909935476,0.6477695699261802,2.446719166839126,1.3528102275159593,2.446719166839126,2.446719166839126,2.7034637566659456,2020-04-04,RO
1.593482167749293,0.5722875995713692,0.6753071159526045,0.7834533843120255,2.618890454295255,1.5279302393867626,2.618890454295255,2.618890454295255,2.881877213854036,2020-04-05,RO
1.9097359782730778,0.6196296079178948,0.8963030403831695,1.0052438698231654,3.011876132420706,1.8449196387913016,3.011876132420706,3.011876132420706,3.329131411012741,2020-04-06,RO
2.1092408001829064,0.6246105417467405,1.0758582616914059,1.2060163388713476,3.247011252369128,2.0440587736094464,3.247011252369128,3.247011252369128,3.4836621040587668,2020-04-07,RO
1.688412307238712,0.5441426829337632,0.8129077550977468,0.9116576236723827,2.6841243426367476,1.623588670992639,2.6841243426367476,2.6841243426367476,2.928236540889352,2020-04-08,RO
2.739611239168642,0.6583083230231189,1.621475205819389,1.7716963744588103,3.9280066621812586,2.676759998788961,3.9280066621812586,3.9280066621812586,4.224990103892159,2020-04-09,RO
2.7747544568390294,0.6649538429543345,1.6502941043819384,1.7938074485817277,3.949775566545873,2.7218863985269697,3.949775566545873,3.949775566545873,4.221273385241994,2020-04-10,RO
2.204630575684762,0.5723934938305537,1.2679080284801556,1.3867459737614962,3.2386096365032397,2.1448135729390536,3.2386096365032397,3.2386096365032397,3.4756780376717407,2020-04-11,RO
1.861772364878765,0.4587935360114547,1.104100421219181,1.1940421485921069,2.6920285703337967,1.8131828513498078,2.6920285703337967,2.6920285703337967,2.907465272536668,2020-04-12,RO
1.8856830416632075,0.4020757412029819,1.2096529930073097,1.2957835586851536,2.6108225629800423,1.846199397409039,2.6108225629800423,2.6108225629800423,2.77903754883715,2020-04-13,RO
2.6263802460224874,0.4513635744168157,1.841426645749118,1.9466104517159306,3.431590996988419,2.5882634611265,3.431590996988419,3.431590996988419,3.592802534181453,2020-04-14,RO
2.4030164475758635,0.4425613084070145,1.6437866426428245,1.7389537922627516,3.180150185258567,2.367475720513382,3.180150185258567,3.180150185258567,3.344901647636977,2020-04-15,RO
1.8215840226526014,0.3641354758970176,1.2061579968813996,1.2876863970251802,2.4654939549877333,1.7907727267519893,2.4654939549877333,2.4654939549877333,2.6114365572357525,2020-04-16,RO
1.8963887491087863,0.32270945217269387,1.340731700878079,1.4159309742180952,2.475698952564829,1.8688752071117107,2.475698952564829,2.475698952564829,2.5935780449882557,2020-04-17,RO
2.0793160022849206,0.30712579190322176,1.544695388050394,1.6210715101335644,2.6265200819751144,2.054014834348699,2.6265200819751144,2.6265200819751144,2.738204076371511,2020-04-18,RO
2.1383285658824627,0.3126844964693195,1.5823196369991634,1.6638315049870043,2.6810931538483165,2.1182807292823638,2.6810931538483165,2.6810931538483165,2.8051214955281347,2020-04-19,RO
2.2630369605995946,0.32319126438644524,1.708342102578766,1.7727974296731372,2.8309874719282497,2.2434627591278153,2.8309874719282497,2.8309874719282497,2.9419023519915806,2020-04-20,RO
2.1485138904778407,0.31800793022441354,1.6027903070442486,1.6686238672359988,2.7110513896677477,2.123407017582341,2.7110513896677477,2.7110513896677477,2.817013982474158,2020-04-21,RO
2.022787082717611,0.29433089389444506,1.5271253799630156,1.590745751756601,2.5464642278281726,1.9966296097893932,2.5464642278281726,2.5464642278281726,2.6463574844297604,2020-04-22,RO
1.9092460106466205,0.2604556269159324,1.4766742500667969,1.5270741918371673,2.37213104673618,1.8843248323685944,2.37213104673618,2.37213104673618,2.461138725664364,2020-04-23,RO
1.8473395511514292,0.23230718439576425,1.460237591881187,1.5055217031800519,2.265760592229794,1.8263443913142883,2.265760592229794,2.265760592229794,2.3380839899919583,2020-04-24,RO
1.7450194602956262,0.201046816637204,1.3994373333027108,1.441095485693324,2.099772703050324,1.7291993676945778,2.099772703050324,2.099772703050324,2.167561804541879,2020-04-25,RO
